,_id,iterationName,eventType,finalCount,gameID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trialNum,sectionTrial,cardinality,base,target,response,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,writingTime,initTime,endTime,gender,age,comments,understood,totalLength,distracted,distractedGame,failedGame,failedOutlier,complete,nonsenseGame
2,61e0506daa09f84b60e4b033,run1,tutorial,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0,0.0,1.0,1.0,1.0,2,no,no,1.0,0.0,{},1642090599236.0,1642090599236.0,5606.0,5606.0,4094,1512.0,1642090597389.0,1642090604842.0,,,,,,False,False,False,False,True,False
3,61e05071aa09f84b60e4b034,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.03,3.0,1.0,1.0,1.0,2,no,no,1.0,0.0,{},1642090605849.0,1642090605849.0,3376.0,3376.0,1863,1513.0,1642090597389.0,1642090609225.0,,,,,,False,False,False,False,True,False
5,61e05076aa09f84b60e4b036,run1,tutorial,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.03,3.0,2.0,2.0,2.0,2,ta,ta,1.0,0.0,{},1642090610232.0,1642090610232.0,3697.0,3697.0,2049,1648.0,1642090597389.0,1642090613929.0,,,,,,False,False,False,False,True,False
7,61e0507caa09f84b60e4b038,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.06,6.0,2.0,2.0,2.0,2,ta,ta,1.0,0.0,{},1642090614939.0,1642090614939.0,4918.0,4918.0,3287,1631.0,1642090597389.0,1642090619858.0,,,,,,False,False,False,False,True,False
8,61e05080aa09f84b60e4b039,run1,tutorial,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0,0.0,1.0,1.0,1.0,5,ti,ti,1.0,0.0,{},1642090621128.0,1642090621128.0,3657.0,3657.0,2783,874.0,1642090619434.0,1642090624785.0,,,,,,False,False,False,False,True,False
9,61e05080aa09f84b60e4b03a,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.09,9.0,3.0,1.0,1.0,2,no,no,1.0,0.0,{},1642090620865.0,1642090620865.0,3472.0,3472.0,1950,1522.0,1642090597389.0,1642090624337.0,,,,,,False,False,False,False,True,False
10,61e05082aa09f84b60e4b03b,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.03,3.0,1.0,1.0,1.0,5,ti,ti,1.0,0.0,{},1642090625790.0,1642090625790.0,1421.0,1421.0,827,594.0,1642090619434.0,1642090627211.0,,,,,,False,False,False,False,True,False
12,61e05085aa09f84b60e4b03d,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.12,12.0,4.0,2.0,2.0,2,ta,ta,1.0,0.0,{},1642090625355.0,1642090625355.0,3430.0,3430.0,1902,1528.0,1642090597389.0,1642090628785.0,,,,,,False,False,False,False,True,False
14,61e05085aa09f84b60e4b03f,run1,tutorial,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.03,3.0,2.0,2.0,2.0,5,nu,nu,1.0,0.0,{},1642090628220.0,1642090628220.0,1964.0,1964.0,1092,872.0,1642090619434.0,1642090630184.0,,,,,,False,False,False,False,True,False
16,61e05088aa09f84b60e4b041,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.06,6.0,2.0,2.0,2.0,5,nu,nu,1.0,0.0,{},1642090631187.0,1642090631187.0,1493.0,1493.0,701,792.0,1642090619434.0,1642090632681.0,,,,,,False,False,False,False,True,False
18,61e0508baa09f84b60e4b043,run1,tutorial,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0,0.0,1.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090630413.0,1642090630413.0,3497.0,3497.0,2279,1218.0,1642090628729.0,1642090633910.0,,,,,,False,False,False,False,True,False
19,61e0508caa09f84b60e4b044,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.09,9.0,3.0,1.0,1.0,5,ti,ti,1.0,0.0,{},1642090633684.0,1642090633684.0,3150.0,3150.0,2364,786.0,1642090619434.0,1642090636834.0,,,,,,False,False,False,False,True,False
21,61e0508eaa09f84b60e4b046,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.03,3.0,1.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090634919.0,1642090634919.0,2014.0,2014.0,1276,738.0,1642090628729.0,1642090636933.0,,,,,,False,False,False,False,True,False
23,61e0508faa09f84b60e4b048,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.12,12.0,4.0,2.0,2.0,5,nu,nu,1.0,0.0,{},1642090637845.0,1642090637845.0,1504.0,1504.0,877,627.0,1642090619434.0,1642090639349.0,,,,,,False,False,False,False,True,False
25,61e05091aa09f84b60e4b04a,run1,tutorial,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.03,3.0,2.0,2.0,2.0,4,ki,ki,1.0,0.0,{},1642090637942.0,1642090637942.0,2151.0,2151.0,1054,1097.0,1642090628729.0,1642090640093.0,,,,,,False,False,False,False,True,False
26,61e05093aa09f84b60e4b04b,run1,tutorial,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.12,12.0,5.0,3.0,3.0,5,he,he,1.0,0.0,{},1642090640354.0,1642090640354.0,3045.0,3045.0,2499,546.0,1642090619434.0,1642090643399.0,,,,,,False,False,False,False,True,False
27,61e05093aa09f84b60e4b04c,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.06,6.0,2.0,2.0,2.0,4,ki,ki,1.0,0.0,{},1642090641098.0,1642090641098.0,1083.0,1083.0,410,673.0,1642090628729.0,1642090642181.0,,,,,,False,False,False,False,True,False
28,61e05094aa09f84b60e4b04d,run1,tutorial,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.12,12.0,5.0,3.0,3.0,2,ta-no,tano,1.0,0.0,{},1642090629791.0,1642090629791.0,14074.0,14074.0,5668,8406.0,1642090597389.0,1642090643865.0,,,,,,False,False,False,False,True,False
30,61e05095aa09f84b60e4b04f,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.09,9.0,3.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090643191.0,1642090643191.0,1502.0,1502.0,1077,425.0,1642090628729.0,1642090644693.0,,,,,,False,False,False,False,True,False
31,61e05097aa09f84b60e4b050,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.15,15.0,5.0,3.0,3.0,5,he,he,1.0,0.0,{},1642090644415.0,1642090644415.0,3035.0,3035.0,2652,383.0,1642090619434.0,1642090647450.0,,,,,,False,False,False,False,True,False
33,61e05098aa09f84b60e4b052,run1,tutorial,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0,0.0,1.0,1.0,1.0,4,nu,nu,1.0,0.0,{},1642090639560.0,1642090639560.0,7518.0,7518.0,4568,2950.0,1642090636188.0,1642090647079.0,,,,,,False,False,False,False,True,False
34,61e05098aa09f84b60e4b053,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.12,12.0,4.0,2.0,2.0,4,ki,ki,1.0,0.0,{},1642090645696.0,1642090645696.0,1725.0,1725.0,1244,481.0,1642090628729.0,1642090647421.0,,,,,,False,False,False,False,True,False
35,61e05099aa09f84b60e4b054,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.18,18.0,6.0,1.0,1.0,5,ti,ti,1.0,0.0,{},1642090648454.0,1642090648454.0,1638.0,1638.0,1133,505.0,1642090619434.0,1642090650092.0,,,,,,False,False,False,False,True,False
36,61e0509aaa09f84b60e4b055,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.15,15.0,5.0,3.0,3.0,2,ta-no,tano,1.0,0.0,{},1642090644871.0,1642090644871.0,5434.0,5434.0,2857,2577.0,1642090597389.0,1642090650305.0,,,,,,False,False,False,False,True,False
38,61e0509baa09f84b60e4b057,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.21,21.0,7.0,2.0,2.0,5,nu,nu,1.0,0.0,{},1642090651095.0,1642090651095.0,743.0,743.0,357,386.0,1642090619434.0,1642090651838.0,,,,,,False,False,False,False,True,False
39,61e0509baa09f84b60e4b058,run1,tutorial,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.12,12.0,5.0,3.0,3.0,4,tu,tu,1.0,0.0,{},1642090648432.0,1642090648432.0,2045.0,2045.0,1244,801.0,1642090628729.0,1642090650477.0,,,,,,False,False,False,False,True,False
41,61e0509eaa09f84b60e4b05a,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.15,15.0,5.0,3.0,3.0,4,tu,tu,1.0,0.0,{},1642090651486.0,1642090651486.0,1374.0,1374.0,894,480.0,1642090628729.0,1642090652860.0,,,,,,False,False,False,False,True,False
