,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,err,strat,add_err,mul_err,sf,sf_acc,sf_strat,strat_acc,strategy_acc,exact_match
30859,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,11.0,5.0,na-hu-ko,nahuko,True,,{},1674413110119.0,,,,0.489,2.54,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-1,2-5-1,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,True
30860,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,12.0,5.0,na-hu-na,nahuna,True,,{},1674413110119.0,,,,0.755,3.823,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-2,2-5-2,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,True
30861,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,13.0,5.0,na-hu-te,nahute,True,,{},1674413110119.0,,,,0.531,2.583,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-3,2-5-3,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,True
30862,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,14.0,5.0,na-hu-si,nahusi,True,,{},1674413110119.0,,,,0.701,1.619,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-4,2-5-4,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,True
30863,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,15.0,5.0,te-hu,nahuhu,True,,{},1674413110119.0,,,,0.616,3.79,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-5,3-5,2,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,False
30864,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,16.0,5.0,te-hu-ko,nahuhuko,True,,{},1674413110119.0,,,,0.951,5.929,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-5-1,3-5-1,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,False
30865,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,17.0,5.0,te-hu-na,nahuhuna,True,,{},1674413110119.0,,,,0.624,7.479,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-5-2,3-5-2,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,False
30866,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,18.0,5.0,te-hu-te,nahuhute,True,,{},1674413110119.0,,,,0.487,4.306,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-5-3,3-5-3,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,False
30867,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,19.0,5.0,te-hu-si,nahuhusi,True,,{},1674413110119.0,,,,0.984,2.978,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-5-4,3-5-4,3,0.0,mul,3.0,0.0,False,0.0,add,mul,mul,False
30868,63cd848e58c4334a66b04581,run1,generalization,,193,,,,193,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$2.02,2.02,,,20.0,5.0,si-hu,nahunahu,True,,{},1674413110119.0,,,,3.661,8.945,1674412829191.0,1674413199054.0,,,,,,mul,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,,,,,,1,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5-2-5,4-5,2,0.0,mul,6.0,0.0,False,inf,idk,mul,mul,False
