,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq
15218,63cd834758c4334a66b0446b,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.09,0.09,3.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412850815.0,1674412850815.0,20961.0,20961.0,19.994,0.967,1674412829191.0,1674412871776.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.4835,20.4775,0
15220,63cd834b58c4334a66b0446f,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.12,0.12,4.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412872785.0,1674412872785.0,2770.0,2770.0,2.135,0.635,1674412829191.0,1674412875555.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.3175,2.4524999999999997,0
15226,63cd835958c4334a66b04479,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.18,0.18,6.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412887600.0,1674412887600.0,1866.0,1866.0,1.171,0.695,1674412829191.0,1674412889466.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.3475,1.5185,1
15228,63cd835c58c4334a66b0447c,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.21,0.21,7.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412890472.0,1674412890472.0,1786.0,1786.0,0.868,0.918,1674412829191.0,1674412892258.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.459,1.327,1
15230,63cd835f58c4334a66b0447f,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.24,0.24,8.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674412893263.0,1674412893263.0,1982.0,1982.0,0.835,1.147,1674412829191.0,1674412895245.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.5735,1.4085,0
15236,63cd836c58c4334a66b04489,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.3,0.3,10.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412906889.0,1674412906889.0,1670.0,1670.0,1.07,0.6,1674412829191.0,1674412908559.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.3,1.37,2
15237,63cd836c58c4334a66b0448a,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.21,0.21,8.0,0.0,5.0,5.0,ki,so,0.0,0.0,{},1674412903978.0,1674412903978.0,4377.0,4377.0,3.698,0.679,1674412833937.0,1674412908355.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",3,5,1.0,0.3395,4.0375,0
15238,63cd836e58c4334a66b0448b,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.33,0.33,11.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412909567.0,1674412909567.0,1085.0,1085.0,0.389,0.696,1674412829191.0,1674412910652.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.348,0.737,2
15239,63cd837158c4334a66b0448d,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.36,0.36,12.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674412911656.0,1674412911656.0,1631.0,1631.0,0.42,1.211,1674412829191.0,1674412913287.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.6055,1.0255,1
15240,63cd837358c4334a66b0448f,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.39,0.39,13.0,3.0,4.0,5.0,si,si,1.0,0.0,{},1674412914295.0,1674412914295.0,1844.0,1844.0,1.15,0.694,1674412829191.0,1674412916139.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",4,4,1.0,0.347,1.4969999999999999,0
