,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,addcount,multcount,rulecount,ppd,dpp
63,87,61e050d7aa09f84b60e4b0b5,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.58,58.0,20.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090708330.0,1642090708330.0,1669.0,1669.0,0.86,0.809,1642090628729.0,1642090709999.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.20225,1.06225,0,81270.0,,3.0,3.0,3.0,,
78,109,61e050e8aa09f84b60e4b0d8,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.76,76.0,26.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090726057.0,1642090726057.0,1342.0,1342.0,0.35,0.992,1642090628729.0,1642090727399.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.248,0.598,1,98670.0,6.0,5.0,5.0,5.0,0.16666666666666666,3.0
100,135,61e050f9aa09f84b60e4b0fc,run1,quiz,False,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.81,81.0,27.0,7.0,7.0,5.0,ka-nu,kanu,1.0,0.0,{},1642090743487.0,1642090743487.0,1930.0,1930.0,0.939,0.991,1642090619434.0,1642090745417.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",5-2,5-2,2.0,0.24775,1.18675,0,125983.0,,3.0,3.0,3.0,,
103,139,61e050fbaa09f84b60e4b102,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.97,97.0,33.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090745362.0,1642090745362.0,1021.0,1021.0,0.284,0.737,1642090628729.0,1642090746383.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.18425,0.4682499999999999,2,117654.0,7.0,8.0,8.0,8.0,0.2857142857142857,2.3333333333333335
116,154,61e05106aa09f84b60e4b11d,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.03,103.0,35.0,8.0,8.0,4.0,ki-se,kise,1.0,0.0,{},1642090755722.0,1642090755722.0,1406.0,1406.0,0.828,0.578,1642090628729.0,1642090757128.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",2-4,2-4,2.0,0.1445,0.9725,0,128399.0,,9.0,9.0,9.0,,
119,158,61e0510aaa09f84b60e4b127,run1,quiz,False,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.02,102.0,34.0,7.0,7.0,5.0,ka-nu,kanu,1.0,0.0,{},1642090760879.0,1642090760879.0,1718.0,1718.0,0.056,1.662,1642090619434.0,1642090762597.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",5-2,5-2,2.0,0.4155,0.4715,1,143163.0,7.0,5.0,5.0,5.0,0.14285714285714285,3.5
129,170,61e05113aa09f84b60e4b13a,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.21,121.0,41.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090768490.0,1642090768490.0,1638.0,1638.0,0.348,1.29,1642090628729.0,1642090770128.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.3225,0.6705,3,141399.0,8.0,11.0,11.0,11.0,0.375,2.0
134,177,61e05117aa09f84b60e4b146,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.27,127.0,43.0,8.0,8.0,4.0,ki-se,kise,1.0,0.0,{},1642090773602.0,1642090773602.0,1062.0,1062.0,0.348,0.714,1642090628729.0,1642090774664.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",2-4,2-4,2.0,0.1785,0.5265,1,145935.0,8.0,12.0,12.0,12.0,0.125,4.0
154,198,61e05127aa09f84b60e4b169,run1,quiz,False,2.0,,,,2.0,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$1.26,126.0,42.0,7.0,7.0,5.0,ka-nu,kanu,1.0,0.0,{},1642090789865.0,1642090789865.0,1748.0,1748.0,0.266,1.482,1642090619434.0,1642090791613.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ti': 1.0, 'nu': 2.0, 'he': 3.0, 'so': 4.0, 'ka': 5.0}",5-2,5-2,2.0,0.3705,0.6365000000000001,2,172179.0,8.0,8.0,8.0,8.0,0.25,2.6666666666666665
163,208,61e0512eaa09f84b60e4b180,run1,quiz,False,3.0,,,,3.0,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$1.48,148.0,50.0,6.0,6.0,4.0,se-ki,seki,1.0,0.0,{},1642090796315.0,1642090796315.0,1125.0,1125.0,0.356,0.769,1642090628729.0,1642090797440.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'na': 1.0, 'ki': 2.0, 'tu': 3.0, 'se': 4.0}",4-2,4-2,2.0,0.19225,0.54825,4,168711.0,9.0,15.0,15.0,15.0,0.4444444444444444,1.8
