,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,ppd,dpp
34,15290,63cd83c358c4334a66b044d3,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.02,1.02,34.0,6.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674412992868.0,1674412992868.0,3018.0,3018.0,0.372,2.646,1674412829191.0,1674412995886.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-2,5-2,2.0,0.6615,1.0335,0,166695.0,,,
45,15311,63cd83e558c4334a66b044f1,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.26,1.26,42.0,6.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674413026351.0,1674413026351.0,2707.0,2707.0,0.297,2.41,1674412829191.0,1674413029058.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-2,5-2,2.0,0.6025,0.8995,1,199867.0,7.0,0.14285714285714285,3.5
59,15335,63cd840458c4334a66b04513,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.49,0.49,22.0,0.0,7.0,5.0,ki-hu,hiku,0.0,0.0,{},1674413057815.0,1674413057815.0,2884.0,2884.0,1.559,1.325,1674412833937.0,1674413060699.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",hiku,5-2,2.0,0.33125,1.89025,0,226762.0,,,
60,15336,63cd840658c4334a66b04516,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.53,1.53,51.0,6.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674413060152.0,1674413060152.0,2962.0,2962.0,0.88,2.082,1674412829191.0,1674413063114.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-2,5-2,2.0,0.5205,1.4005,2,233923.0,8.0,0.25,2.6666666666666665
66,15344,63cd841058c4334a66b04521,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.49,0.49,23.0,1.0,7.0,5.0,ki-hu,hiku,0.0,0.0,{},1674413069350.0,1674413069350.0,3493.0,3493.0,2.101,1.392,1674412833937.0,1674413072843.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",hiku,5-2,2.0,0.348,2.449,1,238906.0,,,
69,15351,63cd841b58c4334a66b0452b,run1,quiz,False,195.0,,,,195.0,63cc988c2a276a3b63c222e6,63cd82d3d1db04dd3a8b1a7e,$0.62,0.62,21.0,5.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674413076966.0,1674413076966.0,7407.0,7407.0,2.398,5.009,1674412935900.0,1674413084373.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'se': 4.0, 'ki': 1.0, 'na': 2.0, 'to': 3.0, 'hu': 5.0}",5-2,5-2,2.0,1.25225,3.65025,0,148473.0,,,
79,15364,63cd842b58c4334a66b0453d,run1,quiz,True,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.83,1.83,61.0,6.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674413098423.0,1674413098423.0,1656.0,1656.0,0.32,1.336,1674412829191.0,1674413100079.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-2,5-2,2.0,0.334,0.654,3,270888.0,9.0,0.3333333333333333,2.25
80,15365,63cd842c58c4334a66b0453e,run1,quiz,False,195.0,,,,195.0,63cc988c2a276a3b63c222e6,63cd82d3d1db04dd3a8b1a7e,$0.73,0.73,25.0,3.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674413096823.0,1674413096823.0,3693.0,3693.0,2.629,1.064,1674412935900.0,1674413100516.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'se': 4.0, 'ki': 1.0, 'na': 2.0, 'to': 3.0, 'hu': 5.0}",5-2,5-2,2.0,0.266,2.895,1,164616.0,3.0,0.3333333333333333,1.5
86,15372,63cd843458c4334a66b04549,run1,quiz,True,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.92,1.92,64.0,0.0,10.0,5.0,na-hu,nahu,1.0,0.0,{},1674413107575.0,1674413107575.0,1531.0,1531.0,0.314,1.217,1674412829191.0,1674413109106.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2-5,2-5,2.0,0.30425,0.61825,0,279915.0,,,
87,15375,63cd843a58c4334a66b0454d,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.5,0.5,26.0,4.0,7.0,5.0,ki-hu,hiku,0.0,0.0,{},1674413110869.0,1674413110869.0,4029.0,4029.0,2.658,1.371,1674412833937.0,1674413114898.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",hiku,5-2,2.0,0.34275,3.00075,2,280961.0,3.0,0.6666666666666666,1.0
